grp,cnt,gender
4,191,F
5,143,F
6,150,F
7,132,F
8,127,F
9,564,F
10,460,F
11,492,F
12,459,F
13,140,F
14,97,F
4,120,M
5,74,M
6,57,M
7,45,M
8,77,M
9,283,M
10,219,M
11,240,M
12,273,M
13,59,M
14,45,M
16,1,M
