group_name,male_count,female_count
16-20,120,191
21-25,74,143
26-30,57,150
31-35,45,132
36-40,77,127
41-45,283,564
46-50,219,460
51-55,240,492
56-60,273,459
61-65,59,140
66-70,45,97
76-80,1,0
